PWSID,SYSTEMNAME,PLANTNUMBER,PLANTNAME,OBJECTIVEID,PROCESSID,PROCESSOBJECTIVEDESC
3051447,"MELBOURNE, CITY OF",1,MELBOURNE SOUTH PLANT,B,04,DISINFECT/CHLORAMINES
3051447,"MELBOURNE, CITY OF",1,MELBOURNE SOUTH PLANT,B,05,DISINFECT/OZONATION
3051447,"MELBOURNE, CITY OF",1,MELBOURNE SOUTH PLANT,C,10,PART-RMVL/COAGULATION
3051447,"MELBOURNE, CITY OF",1,MELBOURNE SOUTH PLANT,C,11,PART-RMVL/FLOCCULATION
3051447,"MELBOURNE, CITY OF",1,MELBOURNE SOUTH PLANT,C,12,PART-RMVL/SEDIMENTATION
3051447,"MELBOURNE, CITY OF",1,MELBOURNE SOUTH PLANT,C,14,PART-RMVL/RAPID SAND FIL
3051447,"MELBOURNE, CITY OF",1,MELBOURNE SOUTH PLANT,E,05,T-O CTRL/OZONATION
3051447,"MELBOURNE, CITY OF",1,MELBOURNE SOUTH PLANT,Z,19,OTHER/PH ADJUSTMENT
3051447,"MELBOURNE, CITY OF",1,MELBOURNE SOUTH PLANT,Z,27,OTHER/FLUORIDATION
3051447,"MELBOURNE, CITY OF",2,R.O. TREATMENT PLANT,B,02,DISINFECT/HYPOCHLORIN
3051447,"MELBOURNE, CITY OF",2,R.O. TREATMENT PLANT,C,29,PART-RMVL/CARTRIDGE FILTR
3051447,"MELBOURNE, CITY OF",2,R.O. TREATMENT PLANT,D,19,CORR-CTRL/PH ADJUSTMENT
3051447,"MELBOURNE, CITY OF",2,R.O. TREATMENT PLANT,E,28,T-O CTRL/PACKED TWR-AERA
3051447,"MELBOURNE, CITY OF",2,R.O. TREATMENT PLANT,K,26,DESALINAT/REVERSE OSMOSIS
3051447,"MELBOURNE, CITY OF",2,R.O. TREATMENT PLANT,Z,18,OTHER/SEQUESTATION
3051447,"MELBOURNE, CITY OF",2,R.O. TREATMENT PLANT,Z,19,OTHER/PH ADJUSTMENT
3051447,"MELBOURNE, CITY OF",2,R.O. TREATMENT PLANT,Z,27,OTHER/FLUORIDATION
3051460,WEST MELBOURNE WTR SYS(CONSEC),1,WEST MELBOURNE CONSECUTIVE,A,,NO TRTMT
3051461,"WEST MELBOURNE, CITY OF",1,"WEST MELBOURNE, CITY OF",B,02,DISINFECT/HYPOCHLORIN
3051488,TIKI HAVEN MHP [OCEAN BREEZE],1,TIKI HAVEN MOBILE HOME PARK,B,02,DISINFECT/HYPOCHLORIN
3051531,"COVE OF SOUTH BEACHES, THE",1,"COVE OF SOUTH BEACHES, THE",B,02,DISINFECT/HYPOCHLORIN
3051531,"COVE OF SOUTH BEACHES, THE",1,"COVE OF SOUTH BEACHES, THE",Z,26,OTHER/REVERSE OSMOSIS
3051538,STUCKEY'S PECAN SHOP,1,STUCKY'S I95 EXIT 82 WTP,B,02,DISINFECT/HYPOCHLORIN
3051538,STUCKEY'S PECAN SHOP,1,STUCKY'S I95 EXIT 82 WTP,E,20,T-O CTRL/AERATION
3051539,STUCKEY'S DAIRY QUEEN,1,WAYFARA I95 EXIT 82 WTP,B,02,DISINFECT/HYPOCHLORIN
3054015,SOUTHERN COMFORT MHP,1,SOUTHERN COMFORT M.H.P.,B,04,DISINFECT/CHLORAMINES
3054016,HOLIDAY VILLAGE RV PARK,1,,B,02,DISINFECT/HYPOCHLORIN
3054017,SUMMIT COVE (STE.ADELE SOUTH),1,SUMMIT COVE (STE.ADELE SOUTH),B,02,DISINFECT/HYPOCHLORIN
3054017,SUMMIT COVE (STE.ADELE SOUTH),1,SUMMIT COVE (STE.ADELE SOUTH),D,36,CORR-CTRL/CORROSION INHIB
3054017,SUMMIT COVE (STE.ADELE SOUTH),1,SUMMIT COVE (STE.ADELE SOUTH),H,25,SOFTENING/ION EXCHANGE
3054024,JOHN F KENNEDY SPACE CENTER (CONSEC),1,JFK BOOSTER W-1 (N6-1007),B,04,DISINFECT/CHLORAMINES
3054047,"SEBASTIAN INLET STATE PARK, NORTH",1,"SEBASTIAN INLET ""NORTHSIDE""",B,02,DISINFECT/HYPOCHLORIN
3054047,"SEBASTIAN INLET STATE PARK, NORTH",1,"SEBASTIAN INLET ""NORTHSIDE""",E,20,T-O CTRL/AERATION
3054056,SNUG HARBOR LAKES & VILLAGES,1,SNUG HARBOR VILLAGE,B,04,DISINFECT/CHLORAMINES
3054056,SNUG HARBOR LAKES & VILLAGES,1,SNUG HARBOR VILLAGE,G,15,IRON RMVL/PRESS SAND FILT
3054057,RIVER GROVE MOBILE HOME VILLAGE,1,RIVER GROVE MOBILE HOME VILLAG,B,01,DISINFECT/GASEOUS CHLORIN
3054057,RIVER GROVE MOBILE HOME VILLAGE,1,RIVER GROVE MOBILE HOME VILLAG,E,20,T-O CTRL/AERATION
3054057,RIVER GROVE MOBILE HOME VILLAGE,1,RIVER GROVE MOBILE HOME VILLAG,I,15,COLOR RML/PRESS SAND FILT
3054057,RIVER GROVE MOBILE HOME VILLAGE,1,RIVER GROVE MOBILE HOME VILLAG,P,32,DISINF BY-PROD CONTRO/PEROXIDE
3054057,RIVER GROVE MOBILE HOME VILLAGE,1,RIVER GROVE MOBILE HOME VILLAG,Z,19,OTHER/PH ADJUSTMENT
3054058,LIGHTHOUSE COVE,1,LIGHTHOUSE COVE,B,02,DISINFECT/HYPOCHLORIN
3054058,LIGHTHOUSE COVE,1,LIGHTHOUSE COVE,C,29,PART-RMVL/CARTRIDGE FILTR
3054058,LIGHTHOUSE COVE,1,LIGHTHOUSE COVE,D,18,CORR-CTRL/SEQUESTATION
3054058,LIGHTHOUSE COVE,1,LIGHTHOUSE COVE,D,19,CORR-CTRL/PH ADJUSTMENT
3054058,LIGHTHOUSE COVE,1,LIGHTHOUSE COVE,E,20,T-O CTRL/AERATION
3054058,LIGHTHOUSE COVE,1,LIGHTHOUSE COVE,G,07,IRON RMVL/OTHER DISINFECT
3054058,LIGHTHOUSE COVE,1,LIGHTHOUSE COVE,H,26,SOFTENING/REVERSE OSMOSIS
3054059,"L3HARRIS TECHNOLOGIES, INC",1,HARRIS CORPORATION-MALABAR WTP,B,02,DISINFECT/HYPOCHLORIN
3054059,"L3HARRIS TECHNOLOGIES, INC",1,HARRIS CORPORATION-MALABAR WTP,C,29,PART-RMVL/CARTRIDGE FILTR
3054059,"L3HARRIS TECHNOLOGIES, INC",1,HARRIS CORPORATION-MALABAR WTP,D,19,CORR-CTRL/PH ADJUSTMENT
3054059,"L3HARRIS TECHNOLOGIES, INC",1,HARRIS CORPORATION-MALABAR WTP,H,26,SOFTENING/REVERSE OSMOSIS
3054059,"L3HARRIS TECHNOLOGIES, INC",1,HARRIS CORPORATION-MALABAR WTP,Z,18,OTHER/SEQUESTATION
3054060,AQUARINA UTILITIES,1,AQUARINA R.O. WTP,B,02,DISINFECT/HYPOCHLORIN
3054060,AQUARINA UTILITIES,1,AQUARINA R.O. WTP,C,29,PART-RMVL/CARTRIDGE FILTR
3054060,AQUARINA UTILITIES,1,AQUARINA R.O. WTP,D,36,CORR-CTRL/CORROSION INHIB
3054060,AQUARINA UTILITIES,1,AQUARINA R.O. WTP,E,28,T-O CTRL/PACKED TWR-AERA
3054060,AQUARINA UTILITIES,1,AQUARINA R.O. WTP,K,26,DESALINAT/REVERSE OSMOSIS
3054061,COUCH PUMP CO.,1,COUCH PUMP CO.,B,02,DISINFECT/HYPOCHLORIN
3054062,SOUTH SHORES UTILITY ASSOCIATION,1,SOUTH SHORES UTILITY ASSOC,B,02,DISINFECT/HYPOCHLORIN
3054062,SOUTH SHORES UTILITY ASSOCIATION,1,SOUTH SHORES UTILITY ASSOC,C,29,PART-RMVL/CARTRIDGE FILTR
3054062,SOUTH SHORES UTILITY ASSOCIATION,1,SOUTH SHORES UTILITY ASSOC,D,36,CORR-CTRL/CORROSION INHIB
3054062,SOUTH SHORES UTILITY ASSOCIATION,1,SOUTH SHORES UTILITY ASSOC,E,20,T-O CTRL/AERATION
3054062,SOUTH SHORES UTILITY ASSOCIATION,1,SOUTH SHORES UTILITY ASSOC,H,19,SOFTENING/PH ADJUSTMENT
3054062,SOUTH SHORES UTILITY ASSOCIATION,1,SOUTH SHORES UTILITY ASSOC,H,26,SOFTENING/REVERSE OSMOSIS
3054062,SOUTH SHORES UTILITY ASSOCIATION,1,SOUTH SHORES UTILITY ASSOC,Z,18,OTHER/SEQUESTATION
3054062,SOUTH SHORES UTILITY ASSOCIATION,1,SOUTH SHORES UTILITY ASSOC,Z,19,OTHER/PH ADJUSTMENT
3054063,J P PLUMBING,1,J P PLUMBING,B,02,DISINFECT/HYPOCHLORIN
3054064,HUNTLEY JIFFY-W ROAD 514,1,HUNTLEY JIFFY-WEST ROAD 514,B,02,DISINFECT/HYPOCHLORIN
3054065,ZIPPY MART-MALABAR,1,ZIPPY MART-MALABAR,B,02,DISINFECT/HYPOCHLORIN
3054066,SEBASTIAN HARBORVIEW MOTEL,1,HARBOR VIEW MOTEL,B,02,DISINFECT/HYPOCHLORIN
3054066,SEBASTIAN HARBORVIEW MOTEL,1,HARBOR VIEW MOTEL,E,20,T-O CTRL/AERATION
3054067,TEED OFF MINIATURE GOLF,1,TEED OFF MINIATURE GOLF,B,02,DISINFECT/HYPOCHLORIN
3054068,CENTRAL FLORIDA TREATMENT CTR,1,CENTRAL FLORIDA TREATMENT CTR,B,02,DISINFECT/HYPOCHLORIN
3054069,FIRST FREE WILL BAPTIST CHURCH,1,FIRST FREE WILL BAPTIST CHURCH,B,02,DISINFECT/HYPOCHLORIN
3054070,ST. LUKE'S CATHOLIC CHURCH,1,ST LUKE'S CATHOLIC CHURCH,B,02,DISINFECT/HYPOCHLORIN
3054070,ST. LUKE'S CATHOLIC CHURCH,1,ST LUKE'S CATHOLIC CHURCH,H,25,SOFTENING/ION EXCHANGE
3054071,THE ROCK CHURCH,1,FIRST BAPTIST CHURCH,A,,NO TRTMT
3054074,KNIGHTS OF COLUMBUS #7408,1,KNIGHTS OF COLUMBUS,B,02,DISINFECT/HYPOCHLORIN
3054075,OUTWARD BOUND DISCOVERY,1,OUTWARD BOUND,B,02,DISINFECT/HYPOCHLORIN
3054076,CARRY OUT RESTAURANT,1,CARRY OUT RESTAURANT,B,02,DISINFECT/HYPOCHLORIN
3054077,THE LI'L SHACK,1,THE LI'L SHACK,B,02,DISINFECT/HYPOCHLORIN
3054078,STEP SAVER #18,1,STEP SAVER #18,B,02,DISINFECT/HYPOCHLORIN
3054079,BLUE CLAW RESTAURANT,1,BLUE CLAW RESTAURANT,B,02,DISINFECT/HYPOCHLORIN
3054080,CAFE COCONUT COVE,1,CAFE COCONUT COVE,B,02,DISINFECT/HYPOCHLORIN
3054081,DETABLAN PLAZA,1,DETABLAN PLAZA,B,02,DISINFECT/HYPOCHLORIN
3054082,ZIPPY MART-GRANT,1,ZIPPY MART-GRANT,B,02,DISINFECT/HYPOCHLORIN
3054083,ALLIS CHALMERS,1,ALLIS CHALMERS,B,02,DISINFECT/HYPOCHLORIN
3054084,S BABCOCK ST BAPTIST CHURCH,1,S BABCOCK ST BAPTIST CHURCH,B,02,DISINFECT/HYPOCHLORIN
3054085,KUNTRY KIDS DAY CARE CENTER,1,KUNTRY KIDS DAY CARE CENTER,B,02,DISINFECT/HYPOCHLORIN
3054086,SUMMIT VIEW GOLF COURSE,1,SUMMIT VIEW GOLF COURSE,B,02,DISINFECT/HYPOCHLORIN
3054086,SUMMIT VIEW GOLF COURSE,1,SUMMIT VIEW GOLF COURSE,H,25,SOFTENING/ION EXCHANGE
3054087,LITTLE SCHOLARS,1,LITTLE SCHOLARS,B,02,DISINFECT/HYPOCHLORIN
3054087,LITTLE SCHOLARS,1,LITTLE SCHOLARS,C,08,PART-RMVL/MICROSCREENING
3054088,POLY-CARE'S APOLLO PRESCHOOL#3,1,APOLLO PRE-SCH#3 AKA POLY-CARE,B,02,DISINFECT/HYPOCHLORIN
3054089,CHRIST CATHEDRAL SCHOOL,1,BIBLE FELLOWSHIP,A,,NO TRTMT
3054090,COUNTRY BEGINNINGS OF PALM BAY,1,COUNTRY BEGINNINGS,B,02,DISINFECT/HYPOCHLORIN
3054091,APOLLO PRE-SCHOOL #2,1,APOLLO PRE-SCHOOL #2,B,02,DISINFECT/HYPOCHLORIN
3054092,BAYSIDE DISCOVERY CENTER INC,1,BAYSIDE DISCOVERY CENTER,B,02,DISINFECT/HYPOCHLORIN
3054093,KUNTRY KIDS,1,KUNTRY KIDS,B,02,DISINFECT/HYPOCHLORIN
3054093,KUNTRY KIDS,1,KUNTRY KIDS,D,36,CORR-CTRL/CORROSION INHIB
3054094,RAINBOW SUNSHINE CHILD CARE CT,1,WEE CARE DAY CARE CENTER,B,02,DISINFECT/HYPOCHLORIN
3054094,RAINBOW SUNSHINE CHILD CARE CT,1,WEE CARE DAY CARE CENTER,H,25,SOFTENING/ION EXCHANGE
3054095,MAPCO EXPRESS(STEP-SAVER)#6118,1,STEP SAVER/MAPCO EXPRESS #6118,B,02,DISINFECT/HYPOCHLORIN
3054096,GRANT FOOD MART,1,GRANT FOOD MART,B,02,DISINFECT/HYPOCHLORIN
3054097,CAPE SOUTH,1,CAPE SOUTH,A,,NO TRTMT
3054098,CIRCLE K #2111,1,KANGAROO EXPRESS #2111,B,02,DISINFECT/HYPOCHLORIN
3054098,CIRCLE K #2111,1,KANGAROO EXPRESS #2111,H,25,SOFTENING/ION EXCHANGE
3054099,CUMBERLAND FARMS - MICCO,1,CUMBERLAND FARMS #9747,B,02,DISINFECT/HYPOCHLORIN
3054099,CUMBERLAND FARMS - MICCO,1,CUMBERLAND FARMS #9747,C,29,PART-RMVL/CARTRIDGE FILTR
3054099,CUMBERLAND FARMS - MICCO,1,CUMBERLAND FARMS #9747,E,25,T-O CTRL/ION EXCHANGE
3054100,OAKWOOD MANOR(CONSEC.TO MIMS),1,OAKWOOD,A,,NO TRTMT
3054101,KINGSWOOD MANOR(CONSEC.TO MIMS,1,KINGSWOOD,A,,NO TRTMT
3054103,AMERICAN LEGION POST #117,1,PALM BAY AMERICAN LEGION #117,B,02,DISINFECT/HYPOCHLORIN
3054104,VALIANT AIR COMMAND,1,VALIANT AIR COMMAND,B,02,DISINFECT/HYPOCHLORIN
3054105,GLORY BOUND CH OF GOD NEW TEST,1,CHURCH OF CHRIST,B,02,DISINFECT/HYPOCHLORIN
3054106,RIVER'S EDGE INN,1,RIVER'S EDGE INN,B,02,DISINFECT/HYPOCHLORIN
3054106,RIVER'S EDGE INN,1,RIVER'S EDGE INN,C,29,PART-RMVL/CARTRIDGE FILTR
3054106,RIVER'S EDGE INN,1,RIVER'S EDGE INN,H,25,SOFTENING/ION EXCHANGE
3054107,HABITAT GOLF COURSE CLUBHOUSE,1,HABITAT GOLF COURSE,B,02,DISINFECT/HYPOCHLORIN
3054107,HABITAT GOLF COURSE CLUBHOUSE,1,HABITAT GOLF COURSE,E,20,T-O CTRL/AERATION
3054108,PINEDA FOOD & BEV/ZIPPY MART,1,ZIPPY MART #515,B,20,DISINFECT/AERATION
3054109,SUNSHINE FOOD MART #41,1,SUNSHINE FOOD MART #41),B,02,DISINFECT/HYPOCHLORIN
3054109,SUNSHINE FOOD MART #41,1,SUNSHINE FOOD MART #41),E,29,T-O CTRL/CARTRIDGE FILTR
3054110,SUNSHINE FOOD MART #81,1,SUNSHINE FOOD MART #81,B,02,DISINFECT/HYPOCHLORIN
3054111,SUNSHINE FOOD MART#44/CITGO OF MALABAR,1,SUNSHINE FOOD MART 44/CITGO,B,02,DISINFECT/HYPOCHLORIN
3054112,BOTTOM'S UP RESTAURANT,1,BOTTOM'S UP,B,02,DISINFECT/HYPOCHLORIN
3054113,PINEDA GOLF AND PANTRY,1,PINEDA GOLF AND PANTRY,B,02,DISINFECT/HYPOCHLORIN
3054115,OUC INDIAN RIVER PLANT,1,OUC INDIAN RIVER PLANT,B,02,DISINFECT/HYPOCHLORIN
3054115,OUC INDIAN RIVER PLANT,1,OUC INDIAN RIVER PLANT,B,04,DISINFECT/CHLORAMINES
3054115,OUC INDIAN RIVER PLANT,1,OUC INDIAN RIVER PLANT,C,09,PART-RMVL/RAPID MIX
3054115,OUC INDIAN RIVER PLANT,1,OUC INDIAN RIVER PLANT,C,10,PART-RMVL/COAGULATION
3054115,OUC INDIAN RIVER PLANT,1,OUC INDIAN RIVER PLANT,C,11,PART-RMVL/FLOCCULATION
3054115,OUC INDIAN RIVER PLANT,1,OUC INDIAN RIVER PLANT,C,12,PART-RMVL/SEDIMENTATION
3054115,OUC INDIAN RIVER PLANT,1,OUC INDIAN RIVER PLANT,C,14,PART-RMVL/RAPID SAND FIL
3054115,OUC INDIAN RIVER PLANT,1,OUC INDIAN RIVER PLANT,H,19,SOFTENING/PH ADJUSTMENT
3054115,OUC INDIAN RIVER PLANT,1,OUC INDIAN RIVER PLANT,H,24,SOFTENING/LIME-SODA
3054116,STEPPING STONES ACADEMY,1,STEPPING STONES,B,02,DISINFECT/HYPOCHLORIN
3054117,FRATERNAL ORDER OF ORIOLES #272,1,FRATERNAL ORDER OF ORIOLES,B,02,DISINFECT/HYPOCHLORIN
3054118,DON'S RIVERSIDE RESTAURANT,1,KZ'S II RIVERS INN,B,02,DISINFECT/HYPOCHLORIN
3054119,CIRCLE K #2005,1,CIRCLE K #2005,B,02,DISINFECT/HYPOCHLORIN
3054119,CIRCLE K #2005,1,CIRCLE K #2005,E,25,T-O CTRL/ION EXCHANGE
3054120,OUR LADY OF GRACE CHURCH,1,OUR LADY OF GRACE CHURCH,B,02,DISINFECT/HYPOCHLORIN
3054121,SEA DUNES RESORT,1,SEA DUNES RESORT,B,02,DISINFECT/HYPOCHLORIN
3054122,SOUTH BREVARD GYMNASTICS,1,EVARD GYMNASTICS,A,,NO TRTMT
3054123,PALM BAY HEAD START,1,PALM BAY HEAD START,B,02,DISINFECT/HYPOCHLORIN
3054123,PALM BAY HEAD START,1,PALM BAY HEAD START,F,23,ORGN-RMVL/GAC ADDITION
3054124,GIZMO'S REEF DOCKSIDE RESTAURA,1,GIZMO'S RESTAURANT,B,02,DISINFECT/HYPOCHLORIN
3054125,RIVERHOUSE TAVERN,1,RIVERHOUSE TAVERN WTP,B,02,DISINFECT/HYPOCHLORIN
3054126,MOOSE LODGE # 1767,1,MOOSE LODGE # 1767,B,02,DISINFECT/HYPOCHLORIN
3054126,MOOSE LODGE # 1767,1,MOOSE LODGE # 1767,E,20,T-O CTRL/AERATION
3054127,SUMMIT PLAZA,1,SUMMIT PLAZA,B,02,DISINFECT/HYPOCHLORIN
3054127,SUMMIT PLAZA,1,SUMMIT PLAZA,E,20,T-O CTRL/AERATION
3054128,PATRICK SPACE FORCE BASE(CONSEC),1,PATRICK AIR FORCE BASE,B,01,DISINFECT/GASEOUS CHLORIN
3054128,PATRICK SPACE FORCE BASE(CONSEC),1,PATRICK AIR FORCE BASE,B,04,DISINFECT/CHLORAMINES
3054129,BOMBARDIER CORP.,1,BOMBARDIER WTP,B,02,DISINFECT/HYPOCHLORIN
3054129,BOMBARDIER CORP.,1,BOMBARDIER WTP,D,36,CORR-CTRL/CORROSION INHIB
3054130,INDIAN RIVER LAGOON EAGLES #4527,2,BOATHOUSE PUB,B,02,DISINFECT/HYPOCHLORIN
3054130,INDIAN RIVER LAGOON EAGLES #4527,2,BOATHOUSE PUB,H,25,SOFTENING/ION EXCHANGE
3054131,SHARPE BROS. GROCERY,1,SHARPE BROS. GROCERY,A,,NO TRTMT
3054132,VICTORIO'S RESTAURANT,1,VICTORIO'S RESTAURANT,B,02,DISINFECT/HYPOCHLORIN
3054133,"""THE FISH HOUSE""",1,"""THE FISH HOUSE""",B,02,DISINFECT/HYPOCHLORIN
3054134,MALABAR MO'S,1,MALABAR MO'S,B,02,DISINFECT/HYPOCHLORIN
3054136,DOC'S SMOKEHOUSE,1,LOUIS'S BAR-B-Q,B,02,DISINFECT/HYPOCHLORIN
3054137,TEXACO MART #638,1,TEXACO MART #638,B,02,DISINFECT/HYPOCHLORIN
3054138,OUR PLACE SALOON,1,OUR PLACE SALOON,B,02,DISINFECT/HYPOCHLORIN
3054139,"NEVINS FRUIT CO, INC",1,"NEVINS FRUIT CO, INC",A,,NO TRTMT
3054140,CAPE CANAVERAL AFS (CONSEC),1,CCAFS PUMP STATION #2,B,04,DISINFECT/CHLORAMINES
3054140,CAPE CANAVERAL AFS (CONSEC),2,CCAFS PUMP STATION #6,B,02,DISINFECT/HYPOCHLORIN
3054140,CAPE CANAVERAL AFS (CONSEC),2,CCAFS PUMP STATION #6,B,04,DISINFECT/CHLORAMINES
3054140,CAPE CANAVERAL AFS (CONSEC),3,PUMP STATION #3,B,02,DISINFECT/HYPOCHLORIN
3054140,CAPE CANAVERAL AFS (CONSEC),3,PUMP STATION #3,B,04,DISINFECT/CHLORAMINES
3054141,VALKARIA DIS. TACKLE & MARINE,1,LITTLE PECKERS SUB SHOP,A,,NO TRTMT
3054143,HONEYSUCKLE RESTAURANT,1,HONEYSUCKLE,B,02,DISINFECT/HYPOCHLORIN
3054144,RJ'S PUB,1,RJ'S PUB,B,02,DISINFECT/HYPOCHLORIN
3054145,OCEAN SHORE MOTEL,1,OCEAN SHORE MOTEL WTP,A,,NO TRTMT
3054146,WINGATE RESERVE SUBDIVISION,1,WINGATE RESERVE SUBDIVISION,B,02,DISINFECT/HYPOCHLORIN
3054146,WINGATE RESERVE SUBDIVISION,1,WINGATE RESERVE SUBDIVISION,C,29,PART-RMVL/CARTRIDGE FILTR
3054146,WINGATE RESERVE SUBDIVISION,1,WINGATE RESERVE SUBDIVISION,D,19,CORR-CTRL/PH ADJUSTMENT
3054146,WINGATE RESERVE SUBDIVISION,1,WINGATE RESERVE SUBDIVISION,E,20,T-O CTRL/AERATION
3054146,WINGATE RESERVE SUBDIVISION,1,WINGATE RESERVE SUBDIVISION,H,26,SOFTENING/REVERSE OSMOSIS
3054147,TASTE OF CUBA,1,TASTE OF CUBA(AKA SOMERSET CAF,B,02,DISINFECT/HYPOCHLORIN
3054148,WATERMARK GRILL,1,WATERMARK GRILL,B,02,DISINFECT/HYPOCHLORIN
3054148,WATERMARK GRILL,1,WATERMARK GRILL,C,29,PART-RMVL/CARTRIDGE FILTR
3054148,WATERMARK GRILL,1,WATERMARK GRILL,E,25,T-O CTRL/ION EXCHANGE
3054149,DATA MANAGEMENT ASSOCIATES,1,DATA MANAGEMENT ASSOCIATES,B,02,DISINFECT/HYPOCHLORIN
3054149,DATA MANAGEMENT ASSOCIATES,1,DATA MANAGEMENT ASSOCIATES,B,25,DISINFECT/ION EXCHANGE
3054149,DATA MANAGEMENT ASSOCIATES,1,DATA MANAGEMENT ASSOCIATES,F,23,ORGN-RMVL/GAC ADDITION
3054150,"MALABAR,TOWN OF(CONSEC.)",1,TOWN OF MALABAR,A,,NO TRTMT
3054151,TEMPORARY LIVING CENTER,1,"BROKEN GLASS,INC AKA TEMPORARY",B,02,DISINFECT/HYPOCHLORIN
3054151,TEMPORARY LIVING CENTER,1,"BROKEN GLASS,INC AKA TEMPORARY",E,20,T-O CTRL/AERATION
3054151,TEMPORARY LIVING CENTER,1,"BROKEN GLASS,INC AKA TEMPORARY",H,25,SOFTENING/ION EXCHANGE
3054152,MICCO RIDGE CENTER,1,MICCO RIDGE WTP,B,02,DISINFECT/HYPOCHLORIN
3054152,MICCO RIDGE CENTER,1,MICCO RIDGE WTP,H,25,SOFTENING/ION EXCHANGE
3054153,MR K FOOD STORE,1,MR. K FOOD STORE WTP,B,02,DISINFECT/HYPOCHLORIN
3054153,MR K FOOD STORE,1,MR. K FOOD STORE WTP,E,25,T-O CTRL/ION EXCHANGE
3054154,PALM BAY RD/I-95 SHELL STATION,1,PALM BAY RD/I-95 SHELL WTP,B,02,DISINFECT/HYPOCHLORIN
3054155,SUNRISE VILLAGE MHP,1,SUNRISE VILLAGE CONS TO COCOA,A,,NO TRTMT
3054156,INDIAN RIVER LAGOON EAGLES #4527,1,INDIAN RIVER LAGOON EAGLES,B,02,DISINFECT/HYPOCHLORIN
3054156,INDIAN RIVER LAGOON EAGLES #4527,1,INDIAN RIVER LAGOON EAGLES,E,20,T-O CTRL/AERATION
3054157,CRYSTAL LAKE RV PARK,1,CRYSTAL LAKE RV PARK,B,02,DISINFECT/HYPOCHLORIN
3054159,NEW HOPE SANCTUARY,1,NEW HOPE SANCTUARY WTP,B,04,DISINFECT/CHLORAMINES
3054160,MAX K RODES PARK WTPS,1,KINGERY BLDG WATER SYSTEM,A,,NO TRTMT
3054160,MAX K RODES PARK WTPS,2,COMMUNITY CENTER WATER SYSTEM,A,,NO TRTMT
3054161,FILL-IN-STATION,1,FILL-IN-STATION WTP,B,02,DISINFECT/HYPOCHLORIN
3054161,FILL-IN-STATION,1,FILL-IN-STATION WTP,Z,23,OTHER/GAC ADDITION
3054162,SURFCASTER'S MOTEL & DEANGELO'S,1,SURFCASTER WTP,B,02,DISINFECT/HYPOCHLORIN
3054162,SURFCASTER'S MOTEL & DEANGELO'S,1,SURFCASTER WTP,E,20,T-O CTRL/AERATION
3054163,FIRST BAPTIST CHURCH OF AURANTIA,1,1ST BAPTIST CHURCH OF AURANTIA,B,02,DISINFECT/HYPOCHLORIN
3054163,FIRST BAPTIST CHURCH OF AURANTIA,1,1ST BAPTIST CHURCH OF AURANTIA,H,25,SOFTENING/ION EXCHANGE
3054164,ORBIT RV PARK INC,1,ORBIT CAMP SITE,B,02,DISINFECT/HYPOCHLORIN
3054164,ORBIT RV PARK INC,1,ORBIT CAMP SITE,E,20,T-O CTRL/AERATION
3054165,SMOKIN ICE HOUSE,1,SMOKIN ICE HOUSE,B,02,DISINFECT/HYPOCHLORIN
3054165,SMOKIN ICE HOUSE,1,SMOKIN ICE HOUSE,E,20,T-O CTRL/AERATION
3054166,SOUTH MAINLAND COMMUNITY CTR,1,SOUTH MAINLAND COMM. CENTER,B,02,DISINFECT/HYPOCHLORIN
3054166,SOUTH MAINLAND COMMUNITY CTR,1,SOUTH MAINLAND COMM. CENTER,H,25,SOFTENING/ION EXCHANGE
3054166,SOUTH MAINLAND COMMUNITY CTR,1,SOUTH MAINLAND COMM. CENTER,I,25,COLOR RML/ION EXCHANGE
3054167,FLORIDA CITRUS CENTER #90,1,SAME,B,02,DISINFECT/HYPOCHLORIN
3054168,MARINA CAFE,1,MARINA CAFE,B,02,DISINFECT/HYPOCHLORIN
3054168,MARINA CAFE,1,MARINA CAFE,E,20,T-O CTRL/AERATION
3054168,MARINA CAFE,1,MARINA CAFE,H,25,SOFTENING/ION EXCHANGE
3054169,PALM BAY CONGREGATION OF JEHOVAH WITNESS,1,PALM BAY CONGREGATION OF JEHOV,B,02,DISINFECT/HYPOCHLORIN
3054170,SAN SEBASTIAN WOODS,1,SAN SEBASTIAN WOODS,B,02,DISINFECT/HYPOCHLORIN
3054170,SAN SEBASTIAN WOODS,1,SAN SEBASTIAN WOODS,B,04,DISINFECT/CHLORAMINES
3054170,SAN SEBASTIAN WOODS,1,SAN SEBASTIAN WOODS,C,29,PART-RMVL/CARTRIDGE FILTR
3054170,SAN SEBASTIAN WOODS,1,SAN SEBASTIAN WOODS,D,36,CORR-CTRL/CORROSION INHIB
3054170,SAN SEBASTIAN WOODS,1,SAN SEBASTIAN WOODS,E,20,T-O CTRL/AERATION
3054171,LONG POINT BAIT AND TACKLE,1,LONG POINT BAIT AND TACKLE,B,02,DISINFECT/HYPOCHLORIN
3054171,LONG POINT BAIT AND TACKLE,1,LONG POINT BAIT AND TACKLE,E,20,T-O CTRL/AERATION
3054172,PALM BAY ESTATES MHP (CONSEC.),1,PALM BAY ESTATES MHP,A,,NO TRTMT
3054174,OUTRIGGERS BAR & GRILL,1,OUTRIGGERS,B,02,DISINFECT/HYPOCHLORIN
