,PWSID,SYSTEMNAME,PLANTNUMBER,PLANTNAME,OBJECTIVEID,PROCESSID,PROCESSOBJECTIVEDESC
8285,3424744,NATIONAL DEVELOPMENT CENTER,1,NATIONAL DEVELOPMENT CENTER,B,2.0,DISINFECT/HYPOCHLORIN
8286,3424745,VICTORY BAPTIST CHURCH,1,FELLOWSHIP BAPTIST CHURCH,B,2.0,DISINFECT/HYPOCHLORIN
8287,3424746,COUNTRY ESTATES PARK,1,COUNTRY ESTATES PARK,B,2.0,DISINFECT/HYPOCHLORIN
8288,3424748,SIT'N BULL RESTAURANT & MOTEL,1,SIT'N BULL RESTAURANT & MOTEL,B,2.0,DISINFECT/HYPOCHLORIN
8289,3424749,COUNTRY BAR & POOL ROOM,1,COUNTRY BAR & POOL ROOM,B,2.0,DISINFECT/HYPOCHLORIN
8290,3424750,WALT'S BRAKE SERVICE,1,WALT'S BRAKE SERVICE,B,2.0,DISINFECT/HYPOCHLORIN
8291,3424751,MERI RESTAURANT,1,MERI RESTAURANT,B,2.0,DISINFECT/HYPOCHLORIN
8292,3424752,DONN PFAFF WAREHOUSE,1,DONN PFAFF WAREHOUSE,B,2.0,DISINFECT/HYPOCHLORIN
8293,3424753,CHURCH OF HOLY CHILD,1,CHURCH OF HOLY CHILD,B,2.0,DISINFECT/HYPOCHLORIN
8294,3424754,IRWIN DAIRY FARM,1,IRWIN DAIRY FARM,B,2.0,DISINFECT/HYPOCHLORIN
8295,3424755,RUSTIC RAIL LOUNGE/RESTAURANT,1,RUSTIC RAIL LOUNGE/RESTAURANT,B,2.0,DISINFECT/HYPOCHLORIN
8296,3424756,STANDARD AUTO PARTS,1,STANDARD AUTO PARTS,B,2.0,DISINFECT/HYPOCHLORIN
8297,3424757,KWIK KING-326 & OLD 301,1,KWIK KING-326 & OLD 301,B,2.0,DISINFECT/HYPOCHLORIN
8298,3424758,CORDELL B OSWALD'S WAREHOUSE,1,CORDELL B OSWALD'S WAREHOUSE,B,2.0,DISINFECT/HYPOCHLORIN
8299,3424759,INCARNATION LUTHERAN CHURCH,1,INCARNATION LUTHERAN CHURCH,B,2.0,DISINFECT/HYPOCHLORIN
8300,3424760,BELLVIEW SEVENTH DAY CHURCH,1,BELLVIEW SEVENTH DAY CHURCH,B,2.0,DISINFECT/HYPOCHLORIN
8301,3424761,BRIGG'S BEAUTY SHOP & STORE,1,BRIGG'S BEAUTY SHOP & STORE,B,2.0,DISINFECT/HYPOCHLORIN
8302,3424762,WEIRSDALE BAPTIST CHURCH,1,WEIRSDALE BAPTIST CHURCH,B,2.0,DISINFECT/HYPOCHLORIN
8303,3424763,RUPERT'S RENTAL & SALES,1,RUPERT'S RENTAL & SALES,B,2.0,DISINFECT/HYPOCHLORIN
8304,3424764,DWIGHT'S CORNER,1,DWIGHT'S CORNER,B,2.0,DISINFECT/HYPOCHLORIN
8305,3424765,ANDREA'S DINER,1,ANDREA'S DINER,B,2.0,DISINFECT/HYPOCHLORIN
8306,3424766,KWIK KING-HWY 484,1,KWIK KING-HWY 484,B,2.0,DISINFECT/HYPOCHLORIN
8307,3424767,DAV CHAPTER 85,1,D.A.V. CHAPTER 85,B,2.0,DISINFECT/HYPOCHLORIN
8308,3424768,MIDSTATE FEDERAL SAVING & LOAN,1,MIDSTATE FEDERAL SAVING & LOAN,B,2.0,DISINFECT/HYPOCHLORIN
8309,3424769,SILVER SPRINGS MOOSE LODGE #1199,1,MOOSE LODGE 1199 SILVR SPRINGS,B,2.0,DISINFECT/HYPOCHLORIN
8310,3424770,ST ALBANS CHURCH,1,ST ALBANS CHURCH,B,2.0,DISINFECT/HYPOCHLORIN
8311,3424771,ALMEIDA COMMERCIAL RENTAL,1,ALMEIDA COMMERCIAL RENTAL,B,2.0,DISINFECT/HYPOCHLORIN
8312,3424772,TRINITY BAPTIST CHURCH,1,TRINITY BAPTIST CHURCH,B,2.0,DISINFECT/HYPOCHLORIN
8313,3424773,KID'S UNLIMITED,1,KID'S UNLIMITED,B,2.0,DISINFECT/HYPOCHLORIN
8314,3424774,KWIK KING-HWY 301 & 318,1,KWIK KING-HWY 301 & 318,B,2.0,DISINFECT/HYPOCHLORIN
8315,3424775,LENA'S SEAFOOD,1,LENA'S SEAFOOD,B,2.0,DISINFECT/HYPOCHLORIN
8316,3424776,GRACE PRESBYTERIAN CHURCH,1,GRACE PRESBYTERIAN CHURCH,B,2.0,DISINFECT/HYPOCHLORIN
8317,3424777,DAVE MOODY STORE,1,DAVE MOODY STORE,B,2.0,DISINFECT/HYPOCHLORIN
8318,3424778,CITRA TABERNACLE,1,CITRA TABERNACLE,B,2.0,DISINFECT/HYPOCHLORIN
8319,3424779,BARNETT BANK-SILVER SPRINGS,1,BARNETT BANK-SILVER SPRINGS,B,2.0,DISINFECT/HYPOCHLORIN
8320,3424780,DAY CARE,1,DAY CARE,B,2.0,DISINFECT/HYPOCHLORIN
8321,3424781,COX-OSCEOLA INDIAN RESERVATION,1,COX-OSCEOLA INDIAN RESERVATION,B,2.0,DISINFECT/HYPOCHLORIN
8322,3424782,KWIK KING # 41 / INACTIVE,1,KWIK KING # 41,B,2.0,DISINFECT/HYPOCHLORIN
8323,3424783,DIAMOND OIL #104,1,QUICK N-EZ MART,B,2.0,DISINFECT/HYPOCHLORIN
8324,3424783,DIAMOND OIL #104,1,QUICK N-EZ MART,H,25.0,SOFTENING/ION EXCHANGE
8325,3424784,KWIK KING # 40 / INACTIVE,1,KWIK KING # 40,B,2.0,DISINFECT/HYPOCHLORIN
8326,3424785,MEXI-RICAN RESTAURANT,1,MEXI-RICAN RESTAURANT,B,2.0,DISINFECT/HYPOCHLORIN
8327,3424786,JOCKO'S RESTAURANT,1,JOCKO'S RESTAURANT,B,2.0,DISINFECT/HYPOCHLORIN
8328,3424787,RING POWER CORP,1,RING POWER CORP,B,2.0,DISINFECT/HYPOCHLORIN
8329,3424787,RING POWER CORP,1,RING POWER CORP,D,36.0,CORR-CTRL/CORROSION INHIB
8330,3424788,SUSIE Q'S RESTAURANT & LOUNGE,1,SUSIE Q'S RESTAURANT & LOUNGE,B,2.0,DISINFECT/HYPOCHLORIN
8331,3424789,LAKEVIEW WOODS/TRAILS EAST S/D,1,LAKEVIEW WOODS S/D,B,2.0,DISINFECT/HYPOCHLORIN
8332,3424789,LAKEVIEW WOODS/TRAILS EAST S/D,1,LAKEVIEW WOODS S/D,E,32.0,TASTE-ODOR CONTROL/PEROXIDE
8333,3424790,BELLEVIEW PLAYLAND DAYCARE,1,BELLEVIEW PLAYLAND DAYCARE,B,2.0,DISINFECT/HYPOCHLORIN
8334,3424791,GOLD SKILLET,1,GOLD SKILLET,B,2.0,DISINFECT/HYPOCHLORIN
8335,3424792,B&B LOUNGE,1,B&B LOUNGE,B,2.0,DISINFECT/HYPOCHLORIN
8336,3424793,KOOL KAT SALOON,1,KOOL KAT SALOON,B,2.0,DISINFECT/HYPOCHLORIN
8337,3424794,UNITY BAPTIST CHURCH,1,UNITY BAPTIST CHURCH,B,2.0,DISINFECT/HYPOCHLORIN
8338,3424795,MOOSE LODGE 2535,1,MOOSE LODGE 2535,B,2.0,DISINFECT/HYPOCHLORIN
8339,3424796,LITTLE ORANGE GROCERIES,1,LITTLE ORANGE GROCERIES,B,2.0,DISINFECT/HYPOCHLORIN
8340,3424797,KWIK KING # 23/OCALA,1,KWIK KING # 23/OCALA,B,2.0,DISINFECT/HYPOCHLORIN
8341,3424798,QUICK KING #2,1,QUICK KING #2,B,2.0,DISINFECT/HYPOCHLORIN
8342,3424798,QUICK KING #2,1,QUICK KING #2,H,25.0,SOFTENING/ION EXCHANGE
8343,3424799,QUICK KING #5,1,QUICK KING #5,B,2.0,DISINFECT/HYPOCHLORIN
8344,3424799,QUICK KING #5,1,QUICK KING #5,H,25.0,SOFTENING/ION EXCHANGE
8345,3424800,TABBY'S RESTAURANT,1,40 EAST BBQ,B,2.0,DISINFECT/HYPOCHLORIN
8346,3424802,WOODLAND PLACE CH OF CHRIST,1,WOODLAND PLACE CH OF CHRIST,B,2.0,DISINFECT/HYPOCHLORIN
8347,3424803,TOWNLEY MANUFACTURING COMPANY,1,TOWNLEY MANUFACTURING,B,2.0,DISINFECT/HYPOCHLORIN
8348,3424804,JOY COMMERCIAL PARK,1,JOY COMMERCIAL PARK,B,2.0,DISINFECT/HYPOCHLORIN
8349,3424805,USDA/SILVER GLENN SPRINGS,1,SILVER GLENN SPRINGS WTP,B,2.0,DISINFECT/HYPOCHLORIN
8350,3424806,OAK-GRINER BAPTIST CHURCH,1,OAK GRINER CHRISTIAN SCHOOL,B,2.0,DISINFECT/HYPOCHLORIN
8351,3424807,WALDBUSSER'S,1,WALDBUSSER'S M. H. SUBDIVISION,B,2.0,DISINFECT/HYPOCHLORIN
8352,3424807,WALDBUSSER'S,1,WALDBUSSER'S M. H. SUBDIVISION,G,18.0,IRON RMVL/SEQUESTATION
8353,3424808,PONDEROSA M.H./SUBDIVISION,1,PONDEROSA M.H./SUBDIVISION,B,2.0,DISINFECT/HYPOCHLORIN
8354,3424810,NORTHEAST CONFERENCE CTR,1,NORTHEAST CONFERENCE CTR,B,2.0,DISINFECT/HYPOCHLORIN
8355,3424811,PENNEY PARK MHP,1,WELL #1,B,2.0,DISINFECT/HYPOCHLORIN
8356,3424812,FORT MCCOY MIDDLE SCHOOL,1,FORT MCCOY MIDDLE SCHOOL (K-8),B,2.0,DISINFECT/HYPOCHLORIN
8357,3424812,FORT MCCOY MIDDLE SCHOOL,1,FORT MCCOY MIDDLE SCHOOL (K-8),D,36.0,CORR-CTRL/CORROSION INHIB
8358,3424812,FORT MCCOY MIDDLE SCHOOL,1,FORT MCCOY MIDDLE SCHOOL (K-8),E,20.0,T-O CTRL/AERATION
8359,3424813,DUCKS DAM DINER,1,DUCKS DAM DINER,B,2.0,DISINFECT/HYPOCHLORIN
8360,3424814,UNITY CHURCH OF OCALA,1,UNITY CHURCH OF OCALA,B,2.0,DISINFECT/HYPOCHLORIN
8361,3424815,HEAVENLY HOPE CHILD CARE CENTER,1,HEAVENLY HOPE CHILD CARE CTR,B,2.0,DISINFECT/HYPOCHLORIN
8362,3424816,PAPA JOES DRIVE IN,1,HOPTON'S DRIVE-IN,B,2.0,DISINFECT/HYPOCHLORIN
8363,3424817,ABC ACADEMY OF BELLEVIEW,1,ABC CHILDREN'S COUNTRY CLUB,B,2.0,DISINFECT/HYPOCHLORIN
8364,3424818,RCMA ANTHONY DAYCARE,1,RCMA ANTHONY DAYCARE,B,2.0,DISINFECT/HYPOCHLORIN
8365,3424819,SALT SPRINGS PIT STOP,1,/SALT SPRINGS PIT STOP,B,2.0,DISINFECT/HYPOCHLORIN
8366,3424819,SALT SPRINGS PIT STOP,1,/SALT SPRINGS PIT STOP,H,25.0,SOFTENING/ION EXCHANGE
8367,3424820,ATSA PIZZA,1,"ATSA PIZZA,F. KAY'S",B,2.0,DISINFECT/HYPOCHLORIN
8368,3424820,ATSA PIZZA,1,"ATSA PIZZA,F. KAY'S",Z,23.0,OTHER/GAC ADDITION
8369,3424821,FRATERNAL ORDER OF EAGLES 4216,1,FRATERNAL ORDER OF THE EAGLES,B,2.0,DISINFECT/HYPOCHLORIN
8370,3424822,HANDY WAY/OCALA,1,HANDY WAY/OCALA,B,2.0,DISINFECT/HYPOCHLORIN
8371,3424823,EVANS U-STORE-IT,1,EVANS U-STORE-IT,B,2.0,DISINFECT/HYPOCHLORIN
8372,3424824,GOOD TIME LOUNGE,1,GOOOD TIME LOUNGE,B,2.0,DISINFECT/HYPOCHLORIN
8373,3424825,VFW  POST#10208/SALT SPRINGS,1,V.F.W. POST#10208,B,2.0,DISINFECT/HYPOCHLORIN
8374,3424826,SPRUCE CREEK SOUTH UTILITIES (2 WPS),1,SPRUCE CREEK SOUTH WTP#1,B,2.0,DISINFECT/HYPOCHLORIN
8375,3424826,SPRUCE CREEK SOUTH UTILITIES (2 WPS),2,SPRUCE CREEK SOUTH WTP#2,B,2.0,DISINFECT/HYPOCHLORIN
8376,3424827,CITRA HIGHLANDS,1,CITRA HIGHLAND,B,2.0,DISINFECT/HYPOCHLORIN
8377,3424828,FLORIDA STATE FIRE COLLEGE,1,FLORIDA STATE FIRE COLLEGE WTP,B,2.0,DISINFECT/HYPOCHLORIN
8378,3424828,FLORIDA STATE FIRE COLLEGE,1,FLORIDA STATE FIRE COLLEGE WTP,H,25.0,SOFTENING/ION EXCHANGE
8379,3424829,FINSBURY PARK AT MOSS BLUFF,1,FINSBURY PARK AT MOSS BLUFF,B,2.0,DISINFECT/HYPOCHLORIN
8380,3424830,VFW POST 10733,1,ORANGE LAKE PLAZA,B,2.0,DISINFECT/HYPOCHLORIN
8381,3424831,LHOIST NORTH AMERICA,1,FRANKLIN INDUSTRIAL MINERAL,B,2.0,DISINFECT/HYPOCHLORIN
8382,3424832,ST GEORGE ANGLICAN CHURCH,1,ST.GEORGE ANGLICAN CHURCH,B,2.0,DISINFECT/HYPOCHLORIN
8383,3424833,MILL CREEK BAPTIST CHURCH OF EUREKA,1,FIRST BAPTIST CHURCH OF EUREKA,B,2.0,DISINFECT/HYPOCHLORIN
8384,3424834,FIRST HAITIAN BAPTIST CHURCH,1,BELLEVIEW CHURCH OF THE NAZARE,B,2.0,DISINFECT/HYPOCHLORIN
8385,3424835,WINGS OF FAITH FELLOWSHIP,1,WINGS OF FAITH,B,2.0,DISINFECT/HYPOCHLORIN
8386,3424836,S N FOOD MART,1,PETER'S FOOD MART,B,2.0,DISINFECT/HYPOCHLORIN
8387,3424836,S N FOOD MART,1,PETER'S FOOD MART,H,25.0,SOFTENING/ION EXCHANGE
8388,3424837,VFW POST #4209,1,VFW POST#4209,B,2.0,DISINFECT/HYPOCHLORIN
8389,3424838,HARD ROCK CYCLE PARK,1,HARD ROCK CYCLE PARK,B,2.0,DISINFECT/HYPOCHLORIN
8390,3424839,BELLEVIEW HILLS ESTATES,1,BELLEVIEW HILLS ESTATES,B,2.0,DISINFECT/HYPOCHLORIN
8391,3424840,OCALA GRACE BRETHREN CHURCH,1,OCALA GRACE BRETHREN CHURCH,B,2.0,DISINFECT/HYPOCHLORIN
8392,3424841,TURNING POINTE ESTATES,1,TURNING POINTE ESTATES,B,2.0,DISINFECT/HYPOCHLORIN
8393,3424842,OKLAWAHA RIVER COUNTRY STORE,1,OKLAWAHA RIVER COUNTRY STORE,B,2.0,DISINFECT/HYPOCHLORIN
8394,3424843,DAVE'S BARBEQUE (SEE COM),1,DAVE'S BARBEQUE,B,2.0,DISINFECT/HYPOCHLORIN
8395,3424845,HANDY WAY #3326/LOWELL,1,HANDY WAY #3326/LOWELL,B,2.0,DISINFECT/HYPOCHLORIN
8396,3424846,FOREST UNITED METHODIST CHURCH,1,FOREST UNITED METHODIST CHURCH,B,2.0,DISINFECT/HYPOCHLORIN
8397,3424847,QUICK KING #6,1,QUICK KING #6,B,2.0,DISINFECT/HYPOCHLORIN
8398,3424849,DIAMOND OIL #105,1,DIAMOND OIL #105,B,2.0,DISINFECT/HYPOCHLORIN
8399,3424850,SILVER MEADOWS REC.CTR.SOUTH,1,SILVER MEADOWS,B,2.0,DISINFECT/HYPOCHLORIN
8400,3424851,OUTLAW SNAX,1,"PULLEY SALTY SNACKS, LLC",B,2.0,DISINFECT/HYPOCHLORIN
8401,3424852,REDDICK BAPTIST CHURCH,1,REDDICK BAPTIST CHURCH,B,2.0,DISINFECT/HYPOCHLORIN
8402,3424853,JACK & JILL LEARNING CENTER,1,JACK & JILL LEARNING CENTER,B,2.0,DISINFECT/HYPOCHLORIN
8403,3424854,NANA'S DAYCARE,1,"OAKCREST DAYCARE, PKA",B,2.0,DISINFECT/HYPOCHLORIN
8404,3424855,KWIK KING #  4/LYNNE,1,KWIK KING #  4/LYNNE,B,2.0,DISINFECT/HYPOCHLORIN
8405,3424856,MASON JAR RESTAURANT/BELLEVIEW,1,MASON JAR RESTAURANT/BELLEVIEW,B,2.0,DISINFECT/HYPOCHLORIN
8406,3424857,VETERANS OF FOREIGN WARS,1,VETERAN OF FOREIGN WARS,B,2.0,DISINFECT/HYPOCHLORIN
8407,3424858,"SKATEBOARD STADIUM WORLD,INC.",1,SKATEBOARD STADIUM WORLD,B,2.0,DISINFECT/HYPOCHLORIN
8408,3424859,LOONEY'S DINER (F. ANNIES DELI),1,LOONEY'S DELI(F. ANNIE'S),B,2.0,DISINFECT/HYPOCHLORIN
8409,3424860,QUICK KING #7,1,QUICK KING #7,B,2.0,DISINFECT/HYPOCHLORIN
8410,3424860,QUICK KING #7,1,QUICK KING #7,H,25.0,SOFTENING/ION EXCHANGE
8411,3424861,USDA/LAKE GEORGE RANGER STATION,1,LAKE GEORGE RANGER STATION WTP,B,2.0,DISINFECT/HYPOCHLORIN
8412,3424862,WING EXCHANGE(F.NIKOS)SEE SC9,1,LEONARDOS ITALIAN RESTAURANT,B,2.0,DISINFECT/HYPOCHLORIN
8413,3424863,USDA/MILL DAM RECREATIONAL AREA,1,MILL DAM CAMPSITES,B,2.0,DISINFECT/HYPOCHLORIN
8414,3424864,FOREST NEW LIFE CHURCH,1,FOREST NEW LIFE CHURCH,B,2.0,DISINFECT/HYPOCHLORIN
8415,3424865,STUPID'S,1,DUFFY'S PLACE,B,2.0,DISINFECT/HYPOCHLORIN
8416,3424866,GRUMPY JERRY'S FLEA MARKET,1,FLEA CITY,B,2.0,DISINFECT/HYPOCHLORIN
8417,3424867,COUNTRY QUEEN/SEMINOLE FOODS,1,COUNTRY QUEEN/SEMINOLE FOODS,A,999.0,NO TRTMT
8418,3424868,ANTHONY CONGR. OF JEH. WITNESS,1,JEHOVAH WITNESS-ANTHONY,B,2.0,DISINFECT/HYPOCHLORIN
8419,3424869,REDDICK PRE-K HEADSTART,1,REDDICK PRE-K HEADSTART,B,2.0,DISINFECT/HYPOCHLORIN
8420,3424870,SANDY'S DRIVE-IN BAR-B-Q,1,SANDY'S DRIVE-IN BBQ,A,999.0,NO TRTMT
8421,3424871,SILVER SPRINGS SHORES VFW POST#4493,1,VFW POST#4493,B,2.0,DISINFECT/HYPOCHLORIN
8422,3424872,PLAZA ONE -,1,PLAZA ONE,B,2.0,DISINFECT/HYPOCHLORIN
8423,3424873,VFW POST#10111,1,VFW POST#10111,B,2.0,DISINFECT/HYPOCHLORIN
8424,3424874,UNITARIAN UNIVERSALIST CHURCH,1,UNITARIAN UNIVERSALIST CHURCH,A,999.0,NO TRTMT
8425,3424875,FRATERNAL ORDER OF EAGLES 3656,1,FRATERNAL ORDER OF EAGLES,B,2.0,DISINFECT/HYPOCHLORIN
8426,3424876,"PALACE HOUSE OF JAZZ&BLUES,THE",1,FORMERLY PJ'S AT THE CLOISTER,B,2.0,DISINFECT/HYPOCHLORIN
8427,3424876,"PALACE HOUSE OF JAZZ&BLUES,THE",1,FORMERLY PJ'S AT THE CLOISTER,E,20.0,T-O CTRL/AERATION
8428,3424876,"PALACE HOUSE OF JAZZ&BLUES,THE",1,FORMERLY PJ'S AT THE CLOISTER,Z,23.0,OTHER/GAC ADDITION
8429,3424878,301 PLAZA,1,301 PLAZA,B,2.0,DISINFECT/HYPOCHLORIN
8430,3424878,301 PLAZA,2,301 PLAZA,B,2.0,DISINFECT/HYPOCHLORIN
8431,3424879,SUNMART # 31,1,SUNMART # 31,B,1.0,DISINFECT/GASEOUS CHLORIN
8432,3424880,FOX CROSSING TAVERN,1,FOX CROSSING,B,2.0,DISINFECT/HYPOCHLORIN
8433,3424881,INTERNAT'L MOTEL&FLEA MARKET,1,INTERNAT'L MOTEL,A,999.0,NO TRTMT
8434,3424882,KRISHIV FOOD STORE LLC,1,NUBY'S TEXACO WTP,B,2.0,DISINFECT/HYPOCHLORIN
8435,3424883,CIRCLE K #2326,1,HANDY WAY #3326/LOWELL,B,2.0,DISINFECT/HYPOCHLORIN
8436,3424883,CIRCLE K #2326,1,HANDY WAY #3326/LOWELL,H,25.0,SOFTENING/ION EXCHANGE
8437,3424884,CIRCLE K # 2314,1,HANDY WAY #2314/SUMMERFIELD,B,2.0,DISINFECT/HYPOCHLORIN
8438,3424885,CIRCLE K #2902,1,KANGAROO EXPRESS #2902,B,2.0,DISINFECT/HYPOCHLORIN
8439,3424886,CIRCLE K #2907,1,KANGAROO EXPRESS # 2907,B,2.0,DISINFECT/HYPOCHLORIN
8440,3424887,OCALA SHRINE CLUB,1,OCALA SHRINE CLUB,B,2.0,DISINFECT/HYPOCHLORIN
8441,3424888,CIRCLE K # 2856,1,KANGAROO EXPRESS #2856,B,2.0,DISINFECT/HYPOCHLORIN
8442,3424889,CIRCLE K # 2321,1,KANGAROO EXPRESS #2321,B,2.0,DISINFECT/HYPOCHLORIN
8443,3424890,FOREST GROCERY,1,HANDY WAY #4052(FOREST GROCERY,B,2.0,DISINFECT/HYPOCHLORIN
8444,3424891,JOYCE CORNER STORE,1,OUR CORNER STORE,B,2.0,DISINFECT/HYPOCHLORIN
8445,3424892,KODY FOODMART/BP(A&M DISC BEV),1,A&M DISCOUNT BEVERAGE 82,B,2.0,DISINFECT/HYPOCHLORIN
8446,3424893,SILVER MEADOWS NORTH REC. AREA,1,SILVER MEADOWS NORTH,B,2.0,DISINFECT/HYPOCHLORIN
8447,3424894,BALLARD ACRES,1,BALLARD ACRES,B,2.0,DISINFECT/HYPOCHLORIN
8448,3424895,HARBOUR VIEW ELEMENTARY,1,HARBOUR VIEW ELEMENTARY,B,2.0,DISINFECT/HYPOCHLORIN
8449,3424896,"SACRED FIRE MINISTRIES, INC",1,KNIGHTS OF COLUMBUS,B,2.0,DISINFECT/HYPOCHLORIN
8450,3424897,EAST SIDE CONSOLIDATED,1,STONECREST,B,2.0,DISINFECT/HYPOCHLORIN
8451,3424897,EAST SIDE CONSOLIDATED,2,SOUTH LAKE WEIR,B,2.0,DISINFECT/HYPOCHLORIN
8452,3424897,EAST SIDE CONSOLIDATED,2,SOUTH LAKE WEIR,C,8.0,PART-RMVL/MICROSCREENING
8453,3424897,EAST SIDE CONSOLIDATED,3,SPRUCE CREEK SOUTH #1,B,2.0,DISINFECT/HYPOCHLORIN
8454,3424897,EAST SIDE CONSOLIDATED,4,SPRUCE CREEK SOUTH #2,B,2.0,DISINFECT/HYPOCHLORIN
8455,3424897,EAST SIDE CONSOLIDATED,6,SPRUCE CREEK G & CC WTP #1,B,2.0,DISINFECT/HYPOCHLORIN
8456,3424897,EAST SIDE CONSOLIDATED,7,SPRUCE CREEK G & CC WTP #2,B,2.0,DISINFECT/HYPOCHLORIN
8457,3424897,EAST SIDE CONSOLIDATED,8,PLANT  B/C,B,2.0,DISINFECT/HYPOCHLORIN
8458,3424897,EAST SIDE CONSOLIDATED,9,PLANT 'G',B,2.0,DISINFECT/HYPOCHLORIN
8459,3424897,EAST SIDE CONSOLIDATED,9,PLANT 'G',Z,20.0,OTHER/AERATION
8460,3424897,EAST SIDE CONSOLIDATED,10,SOUTH OAK S/D WTP,B,2.0,DISINFECT/HYPOCHLORIN
8461,3424897,EAST SIDE CONSOLIDATED,11,DEER PATH WTP,B,2.0,DISINFECT/HYPOCHLORIN
8462,3424897,EAST SIDE CONSOLIDATED,12,SILVER SPRINGS REGIONAL,B,2.0,DISINFECT/HYPOCHLORIN
8463,3424897,EAST SIDE CONSOLIDATED,13,HIGH POINTE (RESIDENTIAL W/S),B,2.0,DISINFECT/HYPOCHLORIN
8464,3424898,WILSON BUSINESS PLAZA,1,WILSON BUSINESS PLAZA,A,999.0,NO TRTMT
8465,3424899,FLORIDA ELKS YOUTH CAMP,1,FLORIDA ELKS YOUTH CAMP,B,1.0,DISINFECT/GASEOUS CHLORIN
8466,3424899,FLORIDA ELKS YOUTH CAMP,1,FLORIDA ELKS YOUTH CAMP,G,18.0,IRON RMVL/SEQUESTATION
8467,3424900,FRONTIER PLAZA,1,THE NIGHT ZONE,B,2.0,DISINFECT/HYPOCHLORIN
8468,3424901,FAT BOYS,1,PIG-N-WHISTLE RESTAURANT,B,2.0,DISINFECT/HYPOCHLORIN
8469,3424902,NORTH TRANSPORTATION CENTER,1,NORTH TRANSPORTATION CENTER,B,2.0,DISINFECT/HYPOCHLORIN
8470,3424903,"DALLAS INN, INC",1,DALLAS BAR,B,2.0,DISINFECT/HYPOCHLORIN
8471,3424905,BASELINE PLAZA SHOPPING CENTER,1,BASELINE PLAZA SHOPPING CENTER,B,2.0,DISINFECT/HYPOCHLORIN
8472,3424906,CIRCLE K #5048/SILVER SPRINGS,1,CIRCLE K #5048/SILVER SPRINGS,B,2.0,DISINFECT/HYPOCHLORIN
8473,3424908,CIRCLE K #6070,1,KANGAROO EXPRESS #6070,B,2.0,DISINFECT/HYPOCHLORIN
8474,3424909,J. P. FOOD MART,1,J.P. FOOD MART,B,2.0,DISINFECT/HYPOCHLORIN
8475,3424910,PACK A SACK #1,1,QUIK TRIP(2525),B,2.0,DISINFECT/HYPOCHLORIN
8476,3424911,JR. FOOD STORE(338),1,JR.FOOD STORE(338),B,2.0,DISINFECT/HYPOCHLORIN
8477,3424912,QUICK KING #18,1,QUICK KING #18,B,2.0,DISINFECT/HYPOCHLORIN
8478,3424914,JIFFY FOOD STORE #2907,1,JOE'S JIFFY FOOD STORE #2907,B,2.0,DISINFECT/HYPOCHLORIN
8479,3424914,JIFFY FOOD STORE #2907,1,JOE'S JIFFY FOOD STORE #2907,H,25.0,SOFTENING/ION EXCHANGE
8480,3424915,LYNN QWIK KING FOOD STORE,1,LYNN QWIK KING FOOD STORE,B,2.0,DISINFECT/HYPOCHLORIN
8481,3424915,LYNN QWIK KING FOOD STORE,1,LYNN QWIK KING FOOD STORE,H,25.0,SOFTENING/ION EXCHANGE
8482,3424916,FLORIDA SEED CO,1,FLORIDA SEED & FEED,B,2.0,DISINFECT/HYPOCHLORIN
8483,3424917,ANTONIO'S MADE IN ITALY,1,ANTONIO'S MADE IN ITALY,B,2.0,DISINFECT/HYPOCHLORIN
8484,3424918,WEIRSDALE GROCERY,1,WEIRSDALE GROCERY,B,2.0,DISINFECT/HYPOCHLORIN
8485,3424918,WEIRSDALE GROCERY,1,WEIRSDALE GROCERY,H,25.0,SOFTENING/ION EXCHANGE
8486,3424919,MERCADO PUEBLO,1,MERCADO PUEBLO,B,2.0,DISINFECT/HYPOCHLORIN
8487,3424921,BUCK N DOES LLC,1,UMATILLA GROCERIES,B,2.0,DISINFECT/HYPOCHLORIN
8488,3424922,ORANGE LAKE BP,1,ORANGE LAKE BP,B,2.0,DISINFECT/HYPOCHLORIN
8489,3424923,CIRCLE K #1251,1,KANGAROO EXPRESS 1251,B,2.0,DISINFECT/HYPOCHLORIN
8490,3424924,CIRCLE K # 1238,1,KANGAROO EXPRESS #1238,B,2.0,DISINFECT/HYPOCHLORIN
8491,3424925,CIRCLE K #1259,1,KANGAROO EXPRESS #1259,B,2.0,DISINFECT/HYPOCHLORIN
8492,3424926,CITGO (FORMERLY SUNMART #13),1,CITGO (FORMERLY SUMART#13),B,2.0,DISINFECT/HYPOCHLORIN
8493,3424926,CITGO (FORMERLY SUNMART #13),1,CITGO (FORMERLY SUMART#13),H,25.0,SOFTENING/ION EXCHANGE
8494,3424927,BELLEVIEW FOOD STORE LLC,1,QUIK TRIP(2500),B,2.0,DISINFECT/HYPOCHLORIN
8495,3424928,CIRCLE K #1242,1,KANGAROO EXPRESS #1242,B,2.0,DISINFECT/HYPOCHLORIN
8496,3424929,F.O.E. EAGLE'S CLUB #4251,1,FRATERNAL ORDER OF EAGLES#4251,B,2.0,DISINFECT/HYPOCHLORIN
8497,3424931,SILVER RIVER STATE PARK/MUSEUM,1,SILVER RIVER STATE PARK,B,2.0,DISINFECT/HYPOCHLORIN
8498,3424932,SUGAR CREEK STORE,1,SUG,B,2.0,DISINFECT/HYPOCHLORIN
