,PWS ID,PWS Name,Status,County,Population Served,Fluoride Product,Fluoridated,Water Source,year
1844,FL-2164003,N.A.S. YELLOW WATER HOUSING,Non-Adjusted,Duval (Primary),894,Natural                       ,No,Unknown,2020
1845,FL-2164279,NEIGHBORHOOD UTILITIES (TIMBER CREEK WTP),Consecutive,Duval (Primary),908,Natural                       ,Yes,Ground,2020
1846,FL-2164400,BELLE OAKS WTP,Non-Adjusted,Duval (Primary),54,Natural                       ,No,Ground,2020
1847,FL-2164401,DINSMORE  CORRECTIONAL,Natural,Duval (Primary),134,Natural                       ,Yes,Ground,2020
1848,FL-2164494,BAILEY'S MHP (NORTH),Non-Adjusted,Duval (Primary),67,Natural                       ,No,Ground,2020
1849,FL-2180002,BEVERLY BEACH WATER SYSTEM,Consecutive,Flagler (Primary),1263,Natural                       ,No,Ground,2020
1850,FL-2180132,BULOW VILLAGE,Non-Adjusted,Flagler (Primary),895,Natural                       ,No,Ground,2020
1851,FL-2180134,BUNNELL WATER PLANT,Non-Adjusted,Flagler (Primary),2368,Natural                       ,No,Ground,2020
1852,FL-2180349,FLAGLER BEACH WTP,Non-Adjusted,Flagler (Primary),4344,Natural                       ,No,Ground,2020
1853,FL-2180863,PALM COAST UTILITY,Non-Adjusted,Flagler (Primary),71821,Natural                       ,No,Ground,2020
1854,FL-2181288,HOLIDAY TRAVEL PARK,Non-Adjusted,Flagler (Primary),73,Natural                       ,No,Ground,2020
1855,FL-2184251,PLANTATION BAY WTP,Non-Adjusted,Flagler (Primary),3129,Natural                       ,No,Ground,2020
1856,FL-2184259,DUNES COMMUNITY DEVELOPMENT DISTRICT,Consecutive,Flagler (Primary),4109,Natural                       ,No,Ground,2020
1857,FL-2184278,DAYTONA NORTH WATER SYSTEM,Non-Adjusted,Flagler (Primary),89,Natural                       ,No,Ground,2020
1858,FL-2210647,LANCASTER CORRECTIONAL INSTITU,Non-Adjusted,Gilchrist (Primary),1051,Natural                       ,No,Ground,2020
1859,FL-2211188,TRENTON WATER DEPT.,Non-Adjusted,Gilchrist (Primary),1252,Natural                       ,No,Ground,2020
1860,FL-2240570,JASPER WTP,Non-Adjusted,Hamilton (Primary),3774,Natural                       ,No,Ground,2020
1861,FL-2240579,JENNINGS WTP,Non-Adjusted,Hamilton (Primary),799,Natural                       ,No,Ground,2020
1862,FL-2241264,WHITE SPRINGS WTP,Non-Adjusted,Hamilton (Primary),732,Natural                       ,No,Ground,2020
1863,FL-2331185,JEFFERSON CORRECTIONAL INST.,Non-Adjusted,Jefferson (Primary),1162,Natural                       ,No,Ground,2020
1864,FL-2341181,MAYO WATER DEPART.,Non-Adjusted,Lafayette (Primary),715,Natural                       ,No,Ground,2020
1865,FL-2341182,MAYO CORRECTIONAL INSTITUTION,Non-Adjusted,Lafayette (Primary),1341,Natural                       ,No,Ground,2020
1866,FL-2380178,CEDAR KEY WTP,Non-Adjusted,Levy (Primary),629,Natural                       ,No,Ground,2020
1867,FL-2380188,MANATEE UTILITIES,Non-Adjusted,Levy (Primary),259,Natural                       ,No,Ground,2020
1868,FL-2380189,CHIEFLAND WTP,Non-Adjusted,Levy (Primary),1816,Natural                       ,No,Ground,2020
1869,FL-2380387,FOWLERS BLUFF WTP,Non-Adjusted,Levy (Primary),268,Natural                       ,No,Ground,2020
1870,FL-2380854,OTTER CREEK WTP,Non-Adjusted,Levy (Primary),121,Natural                       ,No,Ground,2020
1871,FL-2381178,BRONSON WTP,Non-Adjusted,Levy (Primary),1006,Natural                       ,No,Ground,2020
1872,FL-2381208,UNIVERSITY OAKS MHP,Non-Adjusted,Levy (Primary),330,Natural                       ,No,Ground,2020
1873,FL-2381409,FIMC HIDEAWAY INC,Non-Adjusted,Levy (Primary),246,Natural                       ,No,Ground,2020
1874,FL-2381411,FANNING SPRINGS WS,Non-Adjusted,Levy (Primary),769,Natural                       ,No,Ground,2020
1875,FL-2400185,CHERRY LAKE WTP,Non-Adjusted,Madison (Primary),671,Natural                       ,No,Ground,2020
1876,FL-2400205,MADISON WATER DEPART.,Adjusted,Madison (Primary),6572,H2SiF6,Yes,Ground,2020
1877,FL-2400440,GREENVILLE WTP,Non-Adjusted,Madison (Primary),715,Natural                       ,No,Ground,2020
1878,FL-2401296,"LEE , TOWN OF",Consecutive,Madison (Primary),346,H2SiF6,Yes,Ground,2020
1879,FL-2401312,FUMCH-MADISON YOUTH RANCH,Non-Adjusted,Madison (Primary),27,Natural                       ,No,Ground,2020
1880,FL-2450022,NASSAU - AMELIA UTILITIES,Natural,Nassau (Primary),8530,Natural                       ,Yes,Ground,2020
1881,FL-2450146,CALLAHAN WATER TREATMENT PLANT,Non-Adjusted,Nassau (Primary),1419,Natural                       ,No,Ground,2020
1882,FL-2450364,CITY OF FERNANDINA BCH UTILITIES,Natural,Nassau (Primary),14306,Natural                       ,Yes,Ground,2020
1883,FL-2450431,GOODBREAD MOBILE HOME PARK,Non-Adjusted,Nassau (Primary),54,Natural                       ,No,Ground,2020
1884,FL-2451002,SANDPIPER MHP,Non-Adjusted,Nassau (Primary),27,Natural                       ,No,Ground,2020
1885,FL-2451147,TEAKWOOD MOBILE HOME PARK,Non-Adjusted,Nassau (Primary),72,Natural                       ,No,Ground,2020
1886,FL-2451179,HILLIARD WTP,Non-Adjusted,Nassau (Primary),2682,Natural                       ,No,Ground,2020
1887,FL-2451322,MARSH COVE APTS.,Non-Adjusted,Nassau (Primary),371,Natural                       ,No,Ground,2020
1888,FL-2451323,NASSAU ACRES MHP,Non-Adjusted,Nassau (Primary),46,Natural                       ,No,Ground,2020
1889,FL-2454138,DAYSPRING VILLAGE,Non-Adjusted,Nassau (Primary),138,Natural                       ,No,Ground,2020
1890,FL-2454282,YULEE VILLAS,Non-Adjusted,Nassau (Primary),153,Natural                       ,No,Ground,2020
1891,FL-2454300,GREEN ACRES OF YULEE,Non-Adjusted,Nassau (Primary),150,Natural                       ,No,Ground,2020
1892,FL-2454338,LOFTON OAKS WTP,Natural,Nassau (Primary),14711,Natural                       ,Yes,Ground,2020
1893,FL-2454378,DAYSPRING SENIOR LIVING,Non-Adjusted,Nassau (Primary),57,Natural                       ,No,Ground,2020
1894,FL-2540058,BASS CAPITAL MHP,Non-Adjusted,Putnam (Primary),89,Natural                       ,No,Ground,2020
1895,FL-2540070,BEECHER'S POINT S/D,Consecutive,Putnam (Primary),169,Natural                       ,No,Ground,2020
1896,FL-2540239,CRESCENT CITY WTP,Non-Adjusted,Putnam (Primary),1609,Natural                       ,No,Ground,2020
1897,FL-2540482,HERMITS COVE WATER SYSTEM,Non-Adjusted,Putnam (Primary),499,Natural                       ,No,Ground,2020
1898,FL-2540545,INTERLACHEN LAKE ESTATES,Non-Adjusted,Putnam (Primary),637,Natural                       ,No,Ground,2020
1899,FL-2540631,LAKE COMO WATER ASSOCIATION,Non-Adjusted,Putnam (Primary),402,Natural                       ,No,Ground,2020
1900,FL-2540865,PALM PORT SUBDIVISION,Non-Adjusted,Putnam (Primary),284,Natural                       ,No,Ground,2020
1901,FL-2540905,POMONA PARK WATER SYSTEM,Non-Adjusted,Putnam (Primary),601,Natural                       ,No,Ground,2020
1902,FL-2540911,PORT BUENA VISTA,Non-Adjusted,Putnam (Primary),121,Natural                       ,No,Ground,2020
1903,FL-2540959,RIVERGROVE SUBDIVISON WTP,Non-Adjusted,Putnam (Primary),335,Natural                       ,No,Ground,2020
1904,FL-2540964,RIVER PARK T/P,Non-Adjusted,Putnam (Primary),894,Natural                       ,No,Ground,2020
1905,FL-2540974,RODEHEAVER BOYS RANCH,Non-Adjusted,Putnam (Primary),63,Natural                       ,No,Ground,2020
1906,FL-2541008,SARATOGA HARBOR,Non-Adjusted,Putnam (Primary),134,Natural                       ,No,Ground,2020
1907,FL-2541086,ST. JOHNS HARBOR,Non-Adjusted,Putnam (Primary),291,Natural                       ,No,Ground,2020
1908,FL-2541087,SAINT JOHNS CAMPGROUND,Non-Adjusted,Putnam (Primary),72,Natural                       ,No,Ground,2020
1909,FL-2541180,INTERLACHEN WTP,Non-Adjusted,Putnam (Primary),676,Natural                       ,No,Ground,2020
1910,FL-2541200,RIVER VILLAS,Non-Adjusted,Putnam (Primary),85,Natural                       ,No,Ground,2020
1911,FL-2541242,WELAKA MHP,Non-Adjusted,Putnam (Primary),284,Natural                       ,No,Ground,2020
1912,FL-2541280,WOOTEN'S MHP,Non-Adjusted,Putnam (Primary),78,Natural                       ,No,Ground,2020
1913,FL-2544255,MELROSE WTP,Non-Adjusted,Putnam (Primary),1162,Natural                       ,No,Ground,2020
1914,FL-2544257,CRESCENT HILLS SD,Non-Adjusted,Putnam (Primary),79,Natural                       ,No,Ground,2020
1915,FL-2544258,SILVER LAKE OAKS MHV,Non-Adjusted,Putnam (Primary),84,Natural                       ,No,Ground,2020
1916,FL-2544260,R. C. WILLIS WTP (CITY OF PALATKA),Non-Adjusted,Putnam (Primary),10640,Natural                       ,No,Ground,2020
1917,FL-2544265,MOUNT ROYAL S/D,Non-Adjusted,Putnam (Primary),77,Natural                       ,No,Ground,2020
1918,FL-2544266,ST. JOHN'S RIVER CLUB UTILITIE,Non-Adjusted,Putnam (Primary),152,Natural                       ,No,Ground,2020
1919,FL-2544278,HIDE-A-WAY ACRES,Non-Adjusted,Putnam (Primary),54,Natural                       ,No,Ground,2020
1920,FL-2544295,JAN'S MODULAR ESTATES,Non-Adjusted,Putnam (Primary),100,Natural                       ,No,Ground,2020
1921,FL-2544298,GRASSY LAKE WTP,Non-Adjusted,Putnam (Primary),215,Natural                       ,No,Ground,2020
1922,FL-2544392,WELAKA WTP,Non-Adjusted,Putnam (Primary),2130,Natural                       ,No,Ground,2020
1923,FL-2544434,WESTWOOD VILLAGE APARTMENTS,Non-Adjusted,Putnam (Primary),45,Natural                       ,No,Ground,2020
1924,FL-2544444,EAST PUTNAM REGIONAL,Non-Adjusted,Putnam (Primary),1341,Natural                       ,No,Ground,2020
1925,FL-2544488,KIRKWOOD ESTATES,Non-Adjusted,Putnam (Primary),40,Natural                       ,No,Ground,2020
1926,FL-2550210,ST. AUGUSTINE WTP,Non-Adjusted,St. Johns (Primary),40656,Natural                       ,No,Ground,2020
1927,FL-2550250,CYPRESS LANDING WTP,Non-Adjusted,St. Johns (Primary),34,Natural                       ,No,Ground,2020
1928,FL-2550396,FRUIT COVE OAKS,Consecutive,St. Johns (Primary),414,Natural                       ,Yes,Ground,2020
1929,FL-2550476,HASTINGS WTP,Natural,St. Johns (Primary),384,Natural                       ,Yes,Ground,2020
1930,FL-2550812,NORTH BEACH UTILITIES,Natural,St. Johns (Primary),3205,Natural                       ,Yes,Ground,2020
1931,FL-2550866,JEA: PALM VALLEY WS,Consecutive,St. Johns (Primary),747,Natural                       ,Yes,Ground,2020
1932,FL-2550908,PONTE VEDRA GRID (JEA),Natural,St. Johns (Primary),4670,Natural                       ,Yes,Ground,2020
1933,FL-2551004,ST. JOHNS COUNTY SAWGRASS GRID,Natural,St. Johns (Primary),10848,Natural                       ,Yes,Ground,2020
1934,FL-2551120,BARTRAM OAKS MHP,Natural,St. Johns (Primary),134,Natural                       ,Yes,Ground,2020
1935,FL-2551228,WAGON WHEEL MHP/JAMES SMITH,Non-Adjusted,St. Johns (Primary),45,Natural                       ,No,Ground,2020
1936,FL-2551370,WILDWOOD WATER SYSTEM,Non-Adjusted,St. Johns (Primary),767,Natural                       ,No,Ground,2020
1937,FL-2551459,SHAMROCK TRAILER & TRAVEL PARK,Non-Adjusted,St. Johns (Primary),98,Natural                       ,No,Ground,2020
1938,FL-2554166,CAMACHEE COVE YACHT HARBOR,Non-Adjusted,St. Johns (Primary),274,Natural                       ,No,Ground,2020
1939,FL-2554332,OAK HAVEN RETIREMENT VILLAGE,Non-Adjusted,St. Johns (Primary),36,Natural                       ,No,Ground,2020
1940,FL-2554334,PONCE DE LEON GRID,Natural,St. Johns (Primary),2011,Natural                       ,Yes,Ground,2020
1941,FL-2554337,HOMEOWNERS UTILITIES INC.,Natural,St. Johns (Primary),282,Natural                       ,Yes,Ground,2020
1942,FL-2554343,ST. JOHNS SERVICE GRID,Natural,St. Johns (Primary),11577,Natural                       ,Yes,Ground,2020
1943,FL-2554344,BAYSIDE ESTATES,Non-Adjusted,St. Johns (Primary),161,Natural                       ,No,Ground,2020
1944,FL-2554346,OAKS OF WILDWOOD,Non-Adjusted,St. Johns (Primary),137,Natural                       ,No,Ground,2020
1945,FL-2554353,EAGLE CREEK WS,Consecutive,St. Johns (Primary),586,Natural                       ,No,Ground,2020
1946,FL-2554447,CR-214 MAINLAND,Non-Adjusted,St. Johns (Primary),46797,Natural                       ,No,Ground,2020
1947,FL-2554471,NORTHWEST UTILITIES WTP,Non-Adjusted,St. Johns (Primary),18162,Natural                       ,No,Ground,2020
1948,FL-2554475,NORTHEAST UTILITIES,Consecutive,St. Johns (Primary),6785,Natural                       ,Yes,Ground,2020
1949,FL-2610012,ADVENT CHRISTIAN VILLAGE,Non-Adjusted,Suwannee (Primary),701,Natural                       ,No,Ground,2020
1950,FL-2610109,BRANFORD WTP,Non-Adjusted,Suwannee (Primary),626,Natural                       ,No,Ground,2020
1951,FL-2610203,LIVE OAK WTP,Adjusted,Suwannee (Primary),6125,H2SiF6,Yes,Ground,2020
1952,FL-2610370,FLORIDA SHERIFF'S BOYS RANCH,Non-Adjusted,Suwannee (Primary),89,Natural                       ,No,Ground,2020
1953,FL-2611239,WAYNE FRIER'S TRAILER PARK,Non-Adjusted,Suwannee (Primary),264,Natural                       ,No,Ground,2020
1954,FL-2611246,WELLBORN WTP,Non-Adjusted,Suwannee (Primary),447,Natural                       ,No,Ground,2020
1955,FL-2620208,PERRY WATER SYSTEM,Adjusted,Taylor (Primary),7958,H2SiF6,Yes,Ground,2020
1956,FL-2621102,BIG BEND WATER AUTHORITY,Non-Adjusted,Taylor (Primary),2682,Natural                       ,No,Ground,2020
1957,FL-2624165,TAYLOR BEACHES WTP,Non-Adjusted,Taylor (Primary),1162,Natural                       ,No,Ground,2020
1958,FL-2630202,LAKE BUTLER WTP,Non-Adjusted,Union (Primary),1654,Natural                       ,No,Ground,2020
1959,FL-2634222,NORTH FLORIDA RECEPTION CENTER,Non-Adjusted,Union (Primary),2682,Natural                       ,No,Ground,2020
1960,FL-3050057,BAREFOOT BAY,Non-Adjusted,Brevard (Primary),8627,Natural                       ,No,Ground,2020
1961,FL-3050108,BREEZEWAY TRAILER PARK,Non-Adjusted,Brevard (Primary),85,Natural                       ,No,Ground,2020
1962,FL-3050131,CAMELOT RV PARK INC,Non-Adjusted,Brevard (Primary),89,Natural                       ,No,Ground,2020
1963,FL-3050223,"COCOA, CITY OF",Adjusted,Brevard (Primary),262909,H2SiF6,Yes,Ground,2020
1964,FL-3050341,ENCHANTED LAKE ESTATES,Non-Adjusted,Brevard (Primary),96,Natural                       ,No,Ground,2020
1965,FL-3050442,CITY OF PALM BAY,Adjusted,Brevard (Primary),108333,H2SiF6,Yes,Ground,2020
1966,FL-3050596,INDIAN RIVER SHORES MHP,Non-Adjusted,Brevard (Primary),49,Natural                       ,No,Ground,2020
1967,FL-3050834,MIMS WATER TREATMENT/NORTH BREVARD CO.,Adjusted,Brevard (Primary),7115,H2SiF6,Yes,Ground,2020
1968,FL-3050841,INTERCOASTAL ESTATES,Non-Adjusted,Brevard (Primary),246,Natural                       ,No,Ground,2020
1969,FL-3050873,PINEWOOD VILLAGE MHP,Non-Adjusted,Brevard (Primary),224,Natural                       ,No,Ground,2020
1970,FL-3050890,NORTHGATE MOBILE RANCH,Non-Adjusted,Brevard (Primary),224,Natural                       ,No,Ground,2020
1971,FL-3050905,OAK PARK MOBILE HOME PARK,Non-Adjusted,Brevard (Primary),80,Natural                       ,No,Ground,2020
1972,FL-3051086,PELICAN BAY,Non-Adjusted,Brevard (Primary),386,Natural                       ,No,Ground,2020
1973,FL-3051311,SOUTH BREVARD WATER CO-OP,Non-Adjusted,Brevard (Primary),1374,Natural                       ,No,Ground,2020
1974,FL-3051367,"TITUSVILLE, CITY OF",Adjusted,Brevard (Primary),45639,H2SiF6,Yes,Ground,2020
1975,FL-3051447,"MELBOURNE, CITY OF",Adjusted,Brevard (Primary),148372,H2SiF6,Yes,Surface,2020
1976,FL-3051460,WEST MELBOURNE WATER SYSTEM,Consecutive,Brevard (Primary),18106,H2SiF6,Yes,Surface,2020
1977,FL-3054015,SOUTHERN COMFORT MHP,Non-Adjusted,Brevard (Primary),100,Natural                       ,No,Ground,2020
1978,FL-3054017,SUMMIT COVE (STE.ADELE SOUTH),Non-Adjusted,Brevard (Primary),202,Natural                       ,No,Ground,2020
1979,FL-3054057,RIVER GROVE MOBILE HOME VILLAGE,Non-Adjusted,Brevard (Primary),386,Natural                       ,No,Ground,2020
1980,FL-3054058,LIGHTHOUSE COVE,Non-Adjusted,Brevard (Primary),185,Natural                       ,No,Ground,2020
1981,FL-3054060,AQUARINA UTILITIES,Non-Adjusted,Brevard (Primary),671,Natural                       ,No,Ground,2020
1982,FL-3054062,SOUTH SHORES UTILITY ASSOC,Non-Adjusted,Brevard (Primary),805,Natural                       ,No,Ground,2020
1983,FL-3054100,OAKWOOD MANOR(CONSEC.TO MIMS),Consecutive,Brevard (Primary),427,H2SiF6,Yes,Ground,2020
1984,FL-3054101,KINGSWOOD MANOR(CONSEC.TO MIMS,Consecutive,Brevard (Primary),125,H2SiF6,Yes,Ground,2020
1985,FL-3054128,PATRICK AIR FORCE BASE,Consecutive,Brevard (Primary),6706,H2SiF6,Yes,Unknown,2020
1986,FL-3054146,WINGATE RESERVE SUBDIVISION,Non-Adjusted,Brevard (Primary),48,Natural                       ,No,Ground,2020
1987,FL-3054170,SAN SEBASTIAN WOODS,Non-Adjusted,Brevard (Primary),117,Natural                       ,No,Ground,2020
1988,FL-3310206,"VERO BEACH, CITY OF",Adjusted,Indian River (Primary),33358,H2SiF6,Yes,Ground,2020
1989,FL-3314052,INDIAN RIVER COUNTY UTILITIES  (2 WTPS),Adjusted,Indian River (Primary),109564,H2SiF6,Yes,Ground,2020
1990,FL-3314280,"FELLSMERE, CITY OF",Adjusted,Indian River (Primary),3992,H2SiF6,Yes,Ground,2020
1991,FL-3350005,FORTY-EIGHT ESTATES,Non-Adjusted,Lake (Primary),78,Natural                       ,No,Ground,2020
1992,FL-3350044,ST. JOHN'S RIVER UTILITY INC,Non-Adjusted,Lake (Primary),2234,Natural                       ,No,Ground,2020
1993,FL-3350062,CYPRESS COVE MPH,Non-Adjusted,Lake (Primary),54,Natural                       ,No,Ground,2020
1994,FL-3350094,BLUE PARROT RV PARK,Non-Adjusted,Lake (Primary),89,Natural                       ,No,Ground,2020
1995,FL-3350102,BONFIRE MOBILE HOME PARK,Non-Adjusted,Lake (Primary),241,Natural                       ,No,Ground,2020
1996,FL-3350117,BRITTANY ESTATES,Non-Adjusted,Lake (Primary),342,Natural                       ,No,Ground,2020
1997,FL-3350152,CARLTON VILLAGE,Non-Adjusted,Lake (Primary),424,Natural                       ,No,Ground,2020
1998,FL-3350172,GRAND ISLAND RESORT MHP,Non-Adjusted,Lake (Primary),429,Natural                       ,No,Ground,2020
1999,FL-3350191,LEISURE MEADOWS MH RANCH,Non-Adjusted,Lake (Primary),268,Natural                       ,No,Ground,2020
2000,FL-3350215,"CLERMONT, CITY OF",Non-Adjusted,Lake (Primary),10397,Natural                       ,No,Ground,2020
2001,FL-3350240,CORLEY ISLAND MOBILE MANOR,Non-Adjusted,Lake (Primary),224,Natural                       ,No,Ground,2020
2002,FL-3350249,COUNTRY SQUIRE MOBILE HOME PK,Non-Adjusted,Lake (Primary),215,Natural                       ,No,Ground,2020
2003,FL-3350319,EAGLE NEST MOBILE HOME ESTATES,Non-Adjusted,Lake (Primary),304,Natural                       ,No,Ground,2020
2004,FL-3350322,EAST LAKE HARRIS ESTATES,Non-Adjusted,Lake (Primary),410,Natural                       ,No,Ground,2020
2005,FL-3350346,"EUSTIS, CITY OF",Adjusted,Lake (Primary),31374,H2SiF6,Yes,Ground,2020
2006,FL-3350370,FERN TERRACE SUBDIVISION,Non-Adjusted,Lake (Primary),253,Natural                       ,No,Ground,2020
2007,FL-3350417,FORESTER HAVEN II,Non-Adjusted,Lake (Primary),34,Natural                       ,No,Ground,2020
2008,FL-3350426,FRIENDLY CENTER SUBDIVISION,Non-Adjusted,Lake (Primary),72,Natural                       ,No,Ground,2020
2009,FL-3350427,"FRUITLAND PARK, CITY OF",Non-Adjusted,Lake (Primary),4584,Natural                       ,No,Ground,2020
2010,FL-3350474,GRIFFWOOD MOBILE HOME PARK,Non-Adjusted,Lake (Primary),264,Natural                       ,No,Ground,2020
2011,FL-3350476,GROVELAND WATER DEPARTMENT,Non-Adjusted,Lake (Primary),11610,Natural                       ,No,Ground,2020
2012,FL-3350481,HAINES CREEK MOBILE HOME S/D,Non-Adjusted,Lake (Primary),197,Natural                       ,No,Ground,2020
2013,FL-3350495,HARBOR OAKS MOBILE HOME PARK,Non-Adjusted,Lake (Primary),376,Natural                       ,No,Ground,2020
2014,FL-3350506,HASELTON VILLAGE,Non-Adjusted,Lake (Primary),447,Natural                       ,No,Ground,2020
2015,FL-3350507,HAWTHORNE AT LEESBURG,Non-Adjusted,Lake (Primary),1684,Natural                       ,No,Ground,2020
2016,FL-3350523,HICKORY HOLLOW ESTATES,Non-Adjusted,Lake (Primary),199,Natural                       ,No,Ground,2020
2017,FL-3350536,HIGHLANDS MOBILE HOME PARK,Non-Adjusted,Lake (Primary),116,Natural                       ,No,Ground,2020
2018,FL-3350544,HOBBY HILL SUBDIVISION,Non-Adjusted,Lake (Primary),237,Natural                       ,No,Ground,2020
2019,FL-3350573,HOWEY IN THE HILLS,Non-Adjusted,Lake (Primary),1812,Natural                       ,No,Ground,2020
2020,FL-3350584,IMPERIAL TERRACE WEST,Non-Adjusted,Lake (Primary),445,Natural                       ,No,Ground,2020
2021,FL-3350655,KING'S COVE SUBDIVISION,Non-Adjusted,Lake (Primary),655,Natural                       ,No,Ground,2020
2022,FL-3350679,LADY LAKE MOBILE HOME PARK,Non-Adjusted,Lake (Primary),241,Natural                       ,No,Ground,2020
2023,FL-3350690,LAKE CORRECTIONAL INSTITUTION,Non-Adjusted,Lake (Primary),1341,Natural                       ,No,Ground,2020
2024,FL-3350691,SUNSHINE PARKWAY SYSTEMS,Non-Adjusted,Lake (Primary),1294,Natural                       ,No,Ground,2020
2025,FL-3350730,LAKEVIEW TERRACE RETIREMENT SERVICES,Non-Adjusted,Lake (Primary),290,Natural                       ,No,Ground,2020
2026,FL-3350744,LAKESIDE VILLAGE I,Non-Adjusted,Lake (Primary),250,Natural                       ,No,Ground,2020
2027,FL-3350745,"LEESBURG, CITY OF",Non-Adjusted,Lake (Primary),34772,Natural                       ,No,Ground,2020
2028,FL-3350760,LITTLE LK HARRIS SHORES ASSOC,Non-Adjusted,Lake (Primary),304,Natural                       ,No,Ground,2020
2029,FL-3350783,YOUTH WITH A MISSION (2WPS),Non-Adjusted,Lake (Primary),89,Natural                       ,No,Ground,2020
2030,FL-3350812,MASCOTTE WATER DEPARTMENT-2WPS,Non-Adjusted,Lake (Primary),6607,Natural                       ,No,Ground,2020
2031,FL-3350825,MID-FLORIDA LAKES YACHT CLUB,Non-Adjusted,Lake (Primary),2741,Natural                       ,No,Ground,2020
2032,FL-3350836,MINNEOLA WATER DEPARTMENT,Non-Adjusted,Lake (Primary),12681,Natural                       ,No,Ground,2020
2033,FL-3350842,MOLOKAI MOBILE COMMUNITY,Non-Adjusted,Lake (Primary),445,Natural                       ,No,Ground,2020
2034,FL-3350846,MONTVERDE MOBILE HOME SD,Non-Adjusted,Lake (Primary),715,Natural                       ,No,Ground,2020
2035,FL-3350847,MONTVERDE WATER DEPARTMENT,Non-Adjusted,Lake (Primary),1071,Natural                       ,No,Ground,2020
2036,FL-3350851,MORGAN'S MHP & FISH CAMP,Non-Adjusted,Lake (Primary),27,Natural                       ,No,Ground,2020
2037,FL-3350852,MORNINGVIEW SUBDIVISION,Non-Adjusted,Lake (Primary),110,Natural                       ,No,Ground,2020
2038,FL-3350858,"MOUNT DORA, CITY OF",Non-Adjusted,Lake (Primary),30601,Natural                       ,No,Ground,2020
2039,FL-3350900,OAK LANE TRAILER PARK,Non-Adjusted,Lake (Primary),97,Natural                       ,No,Ground,2020
2040,FL-3350907,OAK SPRINGS MOBILE HOME PARK,Non-Adjusted,Lake (Primary),888,Natural                       ,No,Ground,2020
2041,FL-3350942,VILLAGES OF LAKE-SUMTER,Non-Adjusted,Lake (Primary),16634,Natural                       ,No,Ground,2020
2042,FL-3350977,LADY LAKE CENTRAL #1 & #2,Non-Adjusted,Lake (Primary),5765,Natural                       ,No,Ground,2020
2043,FL-3350980,PALM GARDENS MOBILE HOME PARK,Non-Adjusted,Lake (Primary),67,Natural                       ,No,Ground,2020
2044,FL-3350981,PALM MOBILE HOME ESTATES,Non-Adjusted,Lake (Primary),141,Natural                       ,No,Ground,2020
2045,FL-3350984,PALM SHORES RV RESORT,Non-Adjusted,Lake (Primary),72,Natural                       ,No,Ground,2020
2046,FL-3351009,PICCIOLA ISLAND SUBDIVISION,Non-Adjusted,Lake (Primary),334,Natural                       ,No,Ground,2020
2047,FL-3351021,PINEY WOODS SUBDIVISION,Non-Adjusted,Lake (Primary),391,Natural                       ,No,Ground,2020
2048,FL-3351062,RAVENSWOOD WATER SYSTEM,Non-Adjusted,Lake (Primary),144,Natural                       ,No,Ground,2020
2049,FL-3351115,SANDPIPER MOBILE HOME MANOR,Non-Adjusted,Lake (Primary),241,Natural                       ,No,Ground,2020
2050,FL-3351182,SILVER LAKE ESTATES,Non-Adjusted,Lake (Primary),2106,Natural                       ,No,Ground,2020
2051,FL-3351205,SKYCREST SUBDIVISION,Non-Adjusted,Lake (Primary),275,Natural                       ,No,Ground,2020
2052,FL-3351254,"SPRINGS PARK AREA, INC",Non-Adjusted,Lake (Primary),299,Natural                       ,No,Ground,2020
2053,FL-3351331,TARA VILLAGE,Non-Adjusted,Lake (Primary),253,Natural                       ,No,Ground,2020
2054,FL-3351333,TAVARES WATER DEPARTMENT,Adjusted,Lake (Primary),34321,H2SiF6,Yes,Ground,2020
2055,FL-3351335,RIDGECREST RESORT COMMUNITY,Non-Adjusted,Lake (Primary),426,Natural                       ,No,Ground,2020
2056,FL-3351348,"HILL, THE",Non-Adjusted,Lake (Primary),80,Natural                       ,No,Ground,2020
2057,FL-3351366,TIMBER VILLAGE MOBILE HOME PK,Non-Adjusted,Lake (Primary),157,Natural                       ,No,Ground,2020
2058,FL-3351376,TORCHLIGHT TRAILER PARK,Non-Adjusted,Lake (Primary),206,Natural                       ,No,Ground,2020
2059,FL-3351402,UMATILLA WATER WORKS,Adjusted,Lake (Primary),3113,H2SiF6,Yes,Ground,2020
2060,FL-3351421,VALENCIA TERRACE SUBDIVISION,Non-Adjusted,Lake (Primary),671,Natural                       ,No,Ground,2020
2061,FL-3351426,VENETIAN VILLAGE,Non-Adjusted,Lake (Primary),393,Natural                       ,No,Ground,2020
2062,FL-3351464,WESTERN SHORES SUBDIVISION,Non-Adjusted,Lake (Primary),861,Natural                       ,No,Ground,2020
2063,FL-3351555,SUNLAKE ESTATES,Non-Adjusted,Lake (Primary),671,Natural                       ,No,Ground,2020
2064,FL-3351561,CYPRESS CREEK,Non-Adjusted,Lake (Primary),171,Natural                       ,No,Ground,2020
2065,FL-3351563,WOODLANDS CHURCH LAKE LLC,Non-Adjusted,Lake (Primary),256,Natural                       ,No,Ground,2020
2066,FL-3351564,CITRUS CIRCLE MOBILE HOME S/D,Non-Adjusted,Lake (Primary),79,Natural                       ,No,Ground,2020
2067,FL-3351566,LEESBURG EAST,Non-Adjusted,Lake (Primary),8603,Natural                       ,No,Ground,2020
